20150226105729218 |main                 |AloServer           :56|I| Server is starting ...
20150226105729314 |main                 |AloServer           :62|I| Server listening on: 0.0.0.0/0.0.0.0:9090 
20150226110132665 |-/192.168.56.1:52051 |ServerManager       :54|I| receive 26bytes from /192.168.56.1:52051
20150226110132673 |-/192.168.56.1:52051 |MessageProcess      :43|I| new message with MID:3
20150226110132676 |-/192.168.56.1:52051 |MessageProcess      :105|I| Client /192.168.56.1:52051 request create new account: phone:93,AF1678155662, 
20150226110132933 |-/192.168.56.1:52051 |DbAccess            :105|I| Database ==> Login with MysqlDataSource
20150226110156618 |-/192.168.56.1:52051 |ServerManager       :54|I| receive 9bytes from /192.168.56.1:52051
20150226110156619 |-/192.168.56.1:52051 |MessageProcess      :43|I| new message with MID:5
20150226110156620 |-/192.168.56.1:52051 |MessageProcess      :74|I| phone number {} request confirm passcode
20150226110156697 |-/192.168.56.1:52051 |DbAction            :186|E| Create account :com.mysql.jdbc.MysqlDataTruncation: Data truncation: Data too long for column 'pPasscode' at row 220
20150226110524541 |-/192.168.56.1:52077 |ServerManager       :54|I| receive 26bytes from /192.168.56.1:52077
20150226110524541 |-/192.168.56.1:52077 |MessageProcess      :43|I| new message with MID:3
20150226110524542 |-/192.168.56.1:52077 |MessageProcess      :105|I| Client /192.168.56.1:52077 request create new account: phone:93,AF1678155662, 
20150226110535528 |-/192.168.56.1:52077 |ServerManager       :54|I| receive 9bytes from /192.168.56.1:52077
20150226110535529 |-/192.168.56.1:52077 |MessageProcess      :43|I| new message with MID:5
20150226110535529 |-/192.168.56.1:52077 |MessageProcess      :74|I| phone number {} request confirm passcode
20150226110535560 |-/192.168.56.1:52077 |DbAction            :186|E| Create account :com.mysql.jdbc.MysqlDataTruncation: Data truncation: Data too long for column 'pPasscode' at row 220
20150226110624222 |-/192.168.56.1:52084 |ServerManager       :54|I| receive 28bytes from /192.168.56.1:52084
20150226110624223 |-/192.168.56.1:52084 |MessageProcess      :43|I| new message with MID:3
20150226110624224 |-/192.168.56.1:52084 |MessageProcess      :105|I| Client /192.168.56.1:52084 request create new account: phone:93,AF1678155662, 
20150226110636556 |-/192.168.56.1:52084 |ServerManager       :54|I| receive 9bytes from /192.168.56.1:52084
20150226110636556 |-/192.168.56.1:52084 |MessageProcess      :43|I| new message with MID:5
20150226110636556 |-/192.168.56.1:52084 |MessageProcess      :74|I| phone number {} request confirm passcode
20150226110636578 |-/192.168.56.1:52084 |DbAction            :186|E| Create account :com.mysql.jdbc.MysqlDataTruncation: Data truncation: Data too long for column 'pPasscode' at row 220
20150226110710617 |main                 |AloServer           :56|I| Server is starting ...
20150226110710639 |main                 |AloServer           :62|I| Server listening on: 0.0.0.0/0.0.0.0:9090 
20150226110732103 |-/192.168.56.1:52093 |ServerManager       :54|I| receive 26bytes from /192.168.56.1:52093
20150226110732108 |-/192.168.56.1:52093 |MessageProcess      :43|I| new message with MID:3
20150226110732111 |-/192.168.56.1:52093 |MessageProcess      :105|I| Client /192.168.56.1:52093 request create new account: phone:93,AF1678155662, 
20150226110732196 |-/192.168.56.1:52093 |DbAccess            :105|I| Database ==> Login with MysqlDataSource
20150226110735476 |-/192.168.56.1:52093 |ServerManager       :54|I| receive 9bytes from /192.168.56.1:52093
20150226110735476 |-/192.168.56.1:52093 |MessageProcess      :43|I| new message with MID:5
20150226110735478 |-/192.168.56.1:52093 |MessageProcess      :74|I| phone number {} request confirm passcode
20150226110943487 |-/192.168.56.1:52093 |DbAction            :186|E| Create account :com.mysql.jdbc.MysqlDataTruncation: Data truncation: Data too long for column 'pPasscode' at row 220
20150226111141541 |-/192.168.56.1:52104 |ServerManager       :54|I| receive 26bytes from /192.168.56.1:52104
20150226111141541 |-/192.168.56.1:52104 |MessageProcess      :43|I| new message with MID:3
20150226111141542 |-/192.168.56.1:52104 |MessageProcess      :105|I| Client /192.168.56.1:52104 request create new account: phone:93,AF1678155662, 
20150226111151374 |-/192.168.56.1:52104 |ServerManager       :54|I| receive 9bytes from /192.168.56.1:52104
